vid,n_frames,mean_persons,scene
01_001,765,1.6091503267973857,01
01_0015,433,2.722863741339492,01
01_0025,601,4.2961730449251245,01
01_0027,409,4.8777506112469435,01
01_0028,457,2.921225382932166,01
01_004,770,3.479220779220779,01
01_0051,337,2.3323442136498516,01
01_0052,337,11.376854599406528,01
01_0053,457,6.299781181619256,01
01_0055,313,4.964856230031949,01
01_0056,529,4.017013232514178,01
01_006,506,1.1284584980237153,01
01_0064,289,6.377162629757786,01
01_008,1010,3.208910891089109,01
01_012,738,1.983739837398374,01
01_0135,409,1.645476772616137,01
01_0136,529,5.960302457466919,01
01_0139,217,6.695852534562212,01
01_0141,313,1.7028753993610224,01
01_0162,193,4.9067357512953365,01
01_0177,317,3.1041009463722395,01
01_018,842,1.8931116389548694,01
01_021,1010,4.036633663366336,01
01_026,736,3.345108695652174,01
01_027,944,0.8792372881355932,01
01_028,945,1.4455026455026454,01
01_030,969,1.87203302373581,01
01_032,1192,2.0738255033557045,01
01_034,890,3.385393258426966,01
01_038,482,5.126556016597511,01
01_039,962,2.5748440748440746,01
01_040,1168,3.535958904109589,01
01_043,878,3.223234624145786,01
01_045,602,2.4767441860465116,01
01_047,1057,2.806054872280038,01
01_050,806,3.892059553349876,01
01_052,962,2.045738045738046,01
01_053,1106,3.376130198915009,01
01_055,722,1.407202216066482,01
01_056,1010,3.225742574257426,01
01_057,734,5.243869209809264,01
01_058,734,3.042234332425068,01
01_059,734,3.7111716621253406,01
01_061,890,3.6707865168539326,01
01_064,650,4.8538461538461535,01
01_065,616,5.853896103896104,01
01_071,1052,2.1197718631178706,01
01_072,1053,4.595441595441596,01
01_074,1041,3.781940441882805,01
01_075,568,4.318661971830986,01
01_076,554,1.644404332129964,01
01_077,698,3.293696275071633,01
01_078,1034,2.5715667311411994,01
01_079,712,4.747191011235955,01
01_080,788,8.51776649746193,01
01_081,789,2.599493029150824,01
01_082,808,12.419554455445544,01
02_001,908,6.154185022026431,02
02_003,736,4.642663043478261,02
02_007,302,4.301324503311259,02
02_008,302,4.993377483443709,02
02_009,602,9.993355481727574,02
02_012,227,5.594713656387666,02
02_015,202,10.455445544554456,02
02_0161,337,4.685459940652819,02
03_002,402,1.8258706467661692,03
03_0031,529,1.3175803402646502,03
03_0032,409,2.3667481662591685,03
03_0033,313,1.7284345047923322,03
03_005,427,1.4777517564402811,03
03_0059,433,2.531177829099307,03
04_0004,865,3.23121387283237,04
04_0011,313,4.492012779552716,04
04_0012,361,3.667590027700831,04
04_002,913,7.4874041621029575,04
04_0046,529,2.376181474480151,04
04_005,976,3.5235655737704916,04
04_007,427,6.9203747072599535,04
04_008,1702,5.564042303172738,04
04_011,552,3.677536231884058,04
04_014,627,5.323763955342903,04
04_016,327,1.290519877675841,04
04_017,502,2.4223107569721116,04
04_018,651,1.8540706605222734,04
05_0017,433,2.5473441108545036,05
05_0019,649,2.4021571648690294,05
05_0023,769,2.695708712613784,05
05_004,602,1.6378737541528239,05
05_005,626,3.2124600638977636,05
05_009,866,2.3221709006928406,05
05_010,1250,3.496,05
05_013,818,4.699266503667482,05
05_016,554,2.891696750902527,05
05_018,809,4.516687268232386,05
05_021,1058,3.329867674858223,05
05_023,734,4.401907356948229,05
05_025,734,6.430517711171662,05
05_026,506,2.1877470355731226,05
05_028,877,4.329532497149373,05
05_030,554,5.709386281588448,05
05_033,1178,4.48641765704584,05
05_034,962,2.899168399168399,05
05_038,482,4.487551867219917,05
05_039,781,1.2176696542893726,05
05_041,781,7.8642765685019205,05
05_043,769,5.197659297789337,05
05_044,769,2.3472041612483747,05
05_045,769,2.7100130039011705,05
05_048,739,4.654939106901218,05
05_049,739,3.476319350473613,05
05_054,738,5.5894308943089435,05
05_056,738,5.387533875338754,05
05_057,738,5.7289972899729,05
05_058,738,11.857723577235772,05
05_060,1034,11.174081237911025,05
05_061,1069,8.380729653882133,05
05_062,1070,9.902803738317758,05
05_064,482,4.717842323651452,05
05_065,1034,2.9216634429400385,05
06_003,1024,1.2177734375,06
06_006,726,0.5509641873278237,06
06_009,400,3.9425,06
06_011,256,1.9453125,06
06_0144,241,0.8340248962655602,06
06_015,846,1.2387706855791962,06
06_0153,217,2.216589861751152,06
06_017,723,1.3333333333333333,06
06_018,723,0.8298755186721992,06
06_020,723,0.8769017980636238,06
06_021,723,2.408022130013831,06
06_022,724,1.824585635359116,06
06_026,1336,2.779191616766467,06
06_028,754,3.36737400530504,06
06_029,754,1.2294429708222812,06
06_030,757,0.9352708058124174,06
07_0006,385,4.65974025974026,07
07_0008,457,3.923413566739606,07
07_002,777,3.6576576576576576,07
07_0048,241,2.663900414937759,07
07_005,727,2.5584594222833563,07
07_008,302,2.7317880794701987,07
08_001,817,18.738066095471236,08
08_002,1298,1.6563944530046224,08
08_004,770,1.7298701298701298,08
08_0058,337,16.827893175074184,08
08_006,785,2.1490445859872613,08
08_007,785,2.301910828025478,08
08_0077,457,10.50328227571116,08
08_008,786,2.9249363867684477,08
08_0080,289,4.442906574394463,08
08_010,721,3.6255201109570043,08
08_011,722,2.724376731301939,08
08_0157,313,4.15335463258786,08
08_0158,337,16.827893175074184,08
08_016,937,19.838847385272146,08
08_021,1322,3.064296520423601,08
08_023,818,18.584352078239608,08
08_024,745,3.581208053691275,08
08_025,746,2.9021447721179623,08
08_028,1082,4.026802218114603,08
08_029,901,1.8013318534961154,08
08_030,902,2.156319290465632,08
08_032,801,1.6329588014981273,08
