frame,n_persons,clip_id
0,16,0
1,16,0
2,16,0
3,17,0
4,17,0
5,16,0
6,17,0
7,16,0
8,16,0
9,16,0
10,16,0
11,17,0
12,17,0
13,16,0
14,16,0
15,17,0
16,16,0
17,16,0
18,16,0
19,16,0
20,16,0
21,16,0
22,16,0
23,16,0
24,16,0
25,16,0
26,16,0
27,16,0
28,16,0
29,15,0
30,15,0
31,15,0
32,15,0
33,15,0
34,15,0
35,15,0
36,14,0
37,15,0
38,15,0
39,15,0
40,15,0
41,15,0
42,15,0
43,15,0
44,15,0
45,15,0
46,15,0
47,15,0
48,15,0
49,15,0
50,15,0
51,15,0
52,15,0
53,16,0
54,15,0
55,15,0
56,15,0
57,15,0
58,15,0
59,15,0
60,14,0
61,14,0
62,14,0
63,14,0
64,14,0
65,14,0
66,15,0
67,15,0
68,15,0
69,15,0
70,15,0
71,15,0
72,15,0
73,15,0
74,15,0
75,16,0
76,15,0
77,15,0
78,15,0
79,15,0
80,15,0
81,15,0
82,15,0
83,15,0
84,15,0
85,15,0
86,15,0
87,15,0
88,16,0
89,15,0
90,15,0
91,15,0
92,16,0
93,15,0
94,15,0
95,15,0
96,15,0
97,15,0
98,15,0
99,15,0
100,15,0
101,15,0
102,16,0
103,16,0
104,16,0
105,16,0
106,16,0
107,16,0
108,17,0
109,16,0
110,16,0
111,16,0
112,17,0
113,16,0
114,15,0
115,16,0
116,16,0
117,15,0
118,15,0
119,15,0
120,16,0
121,16,0
122,16,0
123,16,0
124,16,0
125,16,0
126,16,0
127,16,0
128,16,0
129,16,0
130,15,0
131,16,0
132,16,0
133,16,0
134,15,0
135,16,0
136,16,0
137,16,0
138,16,0
139,15,0
140,15,0
141,15,0
142,16,0
143,17,0
144,17,0
145,18,0
146,18,0
147,18,0
148,18,0
149,18,0
150,19,0
151,19,0
152,19,0
153,19,0
154,19,0
155,19,0
156,19,0
157,19,0
158,19,0
159,19,0
160,19,0
161,20,0
162,20,0
163,20,0
164,20,0
165,20,0
166,20,0
167,20,0
168,19,0
169,19,0
170,20,0
171,20,0
172,20,0
173,18,0
174,17,0
175,17,0
176,17,0
177,17,0
178,17,0
179,17,0
180,17,0
181,17,0
182,17,0
183,17,0
184,17,0
185,17,0
186,18,0
187,18,0
188,18,0
189,18,0
190,18,0
191,18,0
192,18,0
193,19,0
194,19,0
195,20,0
196,20,0
197,19,0
198,19,0
199,19,0
200,19,0
201,19,0
202,19,0
203,19,0
204,19,0
205,18,0
206,19,0
207,19,0
208,19,0
209,19,0
210,19,0
211,19,0
212,19,0
213,19,0
214,18,0
