frame,red_px,abnormal
0,83,0
1,78,0
2,72,0
3,73,0
4,79,0
5,80,0
6,77,0
7,76,0
8,74,0
9,72,0
10,63,0
11,78,0
12,75,0
13,75,0
14,89,0
15,83,0
16,82,0
17,81,0
18,77,0
19,78,0
20,66,0
21,74,0
22,79,0
23,77,0
24,84,0
25,87,0
26,79,0
27,76,0
28,93,0
29,92,0
30,89,0
31,87,0
32,93,0
33,88,0
34,102,0
35,98,0
36,85,0
37,89,0
38,87,0
39,89,0
40,93,0
41,99,0
42,91,0
43,83,0
44,91,0
45,91,0
46,89,0
47,91,0
48,85,0
49,88,0
50,74,0
51,77,0
52,76,0
53,77,0
54,82,0
55,81,0
56,70,0
57,67,0
58,72,0
59,82,0
60,72,0
61,82,0
62,76,0
63,64,0
64,55,0
65,42,0
66,30,0
67,36,0
68,35,0
69,30,0
70,27,0
71,25,0
72,28,0
73,26,0
74,28,0
75,39,0
76,27,0
77,30,0
78,31,0
79,28,0
80,28,0
81,25,0
82,26,0
83,31,0
84,26,0
85,36,0
86,35,0
87,34,0
88,36,0
89,34,0
90,34,0
91,45,0
92,54,0
93,56,0
94,55,0
95,59,0
96,61,0
97,61,0
98,56,0
99,59,0
100,66,0
101,70,0
102,68,0
103,66,0
104,68,0
105,65,0
106,68,0
107,70,0
108,71,0
109,70,0
110,73,0
111,72,0
112,77,0
113,78,0
114,78,0
115,87,0
116,104,0
117,104,0
118,105,0
119,101,0
120,94,0
121,98,0
122,97,0
123,90,0
124,87,0
125,87,0
126,85,0
127,83,0
128,86,0
129,89,0
130,89,0
131,87,0
132,86,0
133,80,0
134,84,0
135,87,0
136,102,0
137,115,0
138,109,0
139,113,0
140,117,0
141,120,0
142,111,0
143,120,0
144,117,0
145,112,0
146,110,0
147,100,0
148,95,0
149,101,0
150,116,0
151,113,0
152,119,0
153,117,0
154,114,0
155,112,0
156,120,0
157,98,0
158,99,0
159,105,0
160,108,0
161,107,0
162,105,0
163,115,0
164,118,0
165,116,0
166,120,0
167,114,0
168,117,0
169,116,0
170,112,0
171,115,0
172,121,0
173,122,0
174,123,0
175,115,0
176,108,0
177,99,0
178,107,0
179,106,0
180,103,0
181,99,0
182,97,0
183,106,0
184,101,0
185,111,0
186,114,0
187,103,0
188,100,0
189,118,0
190,104,0
191,116,0
192,120,0
193,108,0
194,114,0
195,105,0
196,98,0
197,114,0
198,111,0
199,109,0
200,109,0
201,103,0
202,97,0
203,101,0
204,102,0
205,93,0
206,91,0
207,99,0
208,102,0
209,82,0
210,93,0
211,90,0
212,86,0
213,91,0
214,97,0
215,103,0
216,105,0
217,110,0
218,109,0
219,105,0
220,112,0
221,103,0
222,101,0
223,99,0
224,93,0
225,88,0
226,103,0
227,107,0
228,103,0
229,105,0
230,111,0
231,112,0
232,99,0
233,112,0
234,133,0
235,122,0
236,113,0
237,114,0
238,125,0
239,121,0
240,117,0
241,121,0
242,122,0
243,120,0
244,119,0
245,112,0
246,101,0
247,103,0
248,111,0
249,111,0
250,91,0
251,92,0
252,100,0
253,102,0
254,91,0
255,92,0
256,95,0
257,88,0
258,95,0
259,96,0
260,96,0
261,109,0
262,101,0
263,96,0
264,96,0
265,97,0
266,105,0
267,112,0
268,102,0
269,98,0
270,95,0
271,103,0
272,117,0
273,110,0
274,113,0
275,107,0
276,109,0
277,104,0
278,98,0
279,87,0
280,106,0
