epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,427.408,1.47517,0.94777,1.29166,0.76189,0.53755,0.62073,0.3554,1.43417,0.93085,1.27076,0.00033294,0.00033294,0.0670389
2,843.748,1.45521,0.93079,1.28666,0.79392,0.54332,0.63501,0.36793,1.43271,0.88915,1.26217,0.00065528,0.00065528,0.0340279
3,1267.33,1.44697,0.92126,1.27969,0.79116,0.55139,0.63894,0.37539,1.40828,0.88193,1.24999,0.00096662,0.00096662,0.00100593
4,1674.86,1.43221,0.90764,1.27234,0.80113,0.55485,0.6469,0.37961,1.40275,0.84593,1.23867,0.0009505,0.0009505,0.0009505
5,2078.26,1.41318,0.89053,1.26183,0.80253,0.55594,0.64907,0.38379,1.38174,0.84696,1.2312,0.000934,0.000934,0.000934
6,2478.82,1.40067,0.87604,1.25007,0.80578,0.5562,0.65108,0.38685,1.37236,0.8364,1.22144,0.0009175,0.0009175,0.0009175
7,2879.65,1.39004,0.86941,1.24496,0.80238,0.56541,0.656,0.38956,1.36721,0.84726,1.21901,0.000901,0.000901,0.000901
8,3280.52,1.37575,0.85845,1.23495,0.81183,0.56465,0.65919,0.39266,1.36857,0.8185,1.21421,0.0008845,0.0008845,0.0008845
9,3684.19,1.37353,0.85569,1.23393,0.80785,0.56646,0.66008,0.39592,1.35125,0.81515,1.20403,0.000868,0.000868,0.000868
10,4087.51,1.36656,0.84772,1.2299,0.80674,0.56637,0.66108,0.39572,1.34772,0.81334,1.2016,0.0008515,0.0008515,0.0008515
11,4482.68,1.36609,0.8451,1.2258,0.8108,0.56883,0.66366,0.39889,1.34283,0.80727,1.19605,0.000835,0.000835,0.000835
12,4876.35,1.35646,0.83837,1.21976,0.81694,0.57312,0.66757,0.40082,1.34258,0.79667,1.2032,0.0008185,0.0008185,0.0008185
13,5271.04,1.3556,0.8357,1.2208,0.81429,0.56997,0.66586,0.4021,1.33274,0.80213,1.19517,0.000802,0.000802,0.000802
14,5662.05,1.34769,0.82732,1.21604,0.81859,0.574,0.66904,0.40397,1.33286,0.79838,1.19608,0.0007855,0.0007855,0.0007855
15,6046.92,1.34768,0.83015,1.21463,0.81224,0.57162,0.66717,0.40338,1.32702,0.80109,1.19431,0.000769,0.000769,0.000769
16,6414.39,1.34353,0.82513,1.21272,0.82002,0.57318,0.66836,0.40417,1.32985,0.79341,1.18766,0.0007525,0.0007525,0.0007525
17,6791.47,1.33956,0.82403,1.20875,0.81894,0.5746,0.66988,0.40596,1.32305,0.78675,1.18733,0.000736,0.000736,0.000736
18,7162.51,1.33404,0.8198,1.20557,0.81983,0.57704,0.67247,0.4076,1.31925,0.78024,1.18695,0.0007195,0.0007195,0.0007195
19,7531.36,1.33044,0.8173,1.20589,0.82319,0.57511,0.67306,0.40817,1.32152,0.77693,1.18201,0.000703,0.000703,0.000703
20,7902.8,1.32755,0.81144,1.20068,0.82123,0.57893,0.6747,0.41066,1.31225,0.77802,1.1772,0.0006865,0.0006865,0.0006865
21,8278.47,1.32531,0.80988,1.20074,0.82251,0.57944,0.67475,0.41026,1.31556,0.7746,1.17926,0.00067,0.00067,0.00067
22,8654.3,1.31775,0.80639,1.19712,0.82034,0.58137,0.67552,0.41013,1.31674,0.77314,1.18068,0.0006535,0.0006535,0.0006535
23,9023.97,1.31797,0.80419,1.19526,0.81844,0.58101,0.67592,0.41194,1.30705,0.77096,1.17455,0.000637,0.000637,0.000637
24,428.905,1.31423,0.79997,1.19185,0.82288,0.58158,0.67652,0.41255,1.30655,0.76404,1.17326,0.0006205,0.0006205,0.0006205
25,860.404,1.31258,0.79987,1.19273,0.82563,0.58109,0.67666,0.4122,1.30712,0.76376,1.17443,0.000604,0.000604,0.000604
26,1292.03,1.31025,0.79671,1.18971,0.82314,0.5809,0.67581,0.412,1.30751,0.76326,1.17271,0.0005875,0.0005875,0.0005875
27,1711.04,1.30696,0.79679,1.18773,0.82207,0.58209,0.67779,0.41353,1.30477,0.76173,1.17414,0.000571,0.000571,0.000571
28,2125.33,1.30326,0.79385,1.18917,0.82414,0.58222,0.67804,0.41366,1.30345,0.75999,1.17026,0.0005545,0.0005545,0.0005545
29,2526.17,1.30109,0.7874,1.18364,0.82324,0.58387,0.67797,0.41397,1.30326,0.75884,1.17417,0.000538,0.000538,0.000538
30,2923.81,1.29728,0.788,1.18393,0.82632,0.58235,0.67851,0.41426,1.30246,0.75687,1.17226,0.0005215,0.0005215,0.0005215
31,3319.44,1.29,0.78242,1.17842,0.82264,0.5846,0.67852,0.41452,1.30106,0.75632,1.16992,0.000505,0.000505,0.000505
32,3717.62,1.2916,0.7843,1.17884,0.82562,0.5845,0.67963,0.41557,1.30175,0.75298,1.16898,0.0004885,0.0004885,0.0004885
33,4112.1,1.29067,0.78123,1.17881,0.82405,0.58465,0.67926,0.41597,1.30015,0.75241,1.16808,0.000472,0.000472,0.000472
34,4507.07,1.2897,0.78065,1.17526,0.82677,0.58307,0.67932,0.41589,1.29947,0.7527,1.16517,0.0004555,0.0004555,0.0004555
35,4898.03,1.28449,0.77615,1.17271,0.82637,0.58463,0.67996,0.41601,1.30014,0.75049,1.16792,0.000439,0.000439,0.000439
36,5289.14,1.28439,0.77601,1.17483,0.82806,0.58397,0.67938,0.4161,1.29867,0.74872,1.16817,0.0004225,0.0004225,0.0004225
37,5683.86,1.28029,0.77067,1.17063,0.82589,0.58557,0.68168,0.41676,1.2991,0.74777,1.16635,0.000406,0.000406,0.000406
38,6071.71,1.27946,0.77307,1.17092,0.82711,0.58541,0.68171,0.41649,1.29725,0.74578,1.1649,0.0003895,0.0003895,0.0003895
